Problem:    TP
Rows:       3934
Columns:    5544 (5544 integer, 5544 binary)
   159 R1[8,18]                    0                           1 
   160 R1[8,19]                    0                           1 
   161 R1[8,20]                    0                           1 
   162 R1[9,1]                     0                           1 
   163 R1[9,2]                     0                           1 
   164 R1[9,3]                     1                           1 
   165 R1[9,4]                     1                           1 
   166 R1[9,5]                     0                           1 
   167 R1[9,6]                     0                           1 
   168 R1[9,7]                     1                           1 
   169 R1[9,8]                     1                           1 
   170 R1[9,9]                     0                           1 
   171 R1[9,10]                    0                           1 
   172 R1[9,11]                    1                           1 
   173 R1[9,12]                    1                           1 
   174 R1[9,13]                    0                           1 
   175 R1[9,14]                    0                           1 
   176 R1[9,15]                    1                           1 
   177 R1[9,16]                    1                           1 
   178 R1[9,17]                    0                           1 
   179 R1[9,18]                    0                           1 
   180 R1[9,19]                    1                           1 
   181 R1[9,20]                    1                           1 
   182 R1[10,1]                    0                           1 
   183 R1[10,2]                    1                           1 
   184 R1[10,3]                    0                           1 
   185 R1[10,4]                    0                           1 
   186 R1[10,5]                    1                           1 
   187 R1[10,6]                    1                           1 
   188 R1[10,7]                    0                           1 
   189 R1[10,8]                    0                           1 
   190 R1[10,9]                    1                           1 
   191 R1[10,10]                   1                           1 
   192 R1[10,11]                   0                           1 
   193 R1[10,12]                   0                           1 
   194 R1[10,13]                   1                           1 
   195 R1[10,14]                   0                           1 
   196 R1[10,15]                   0                           1 
   197 R1[10,16]                   0                           1 
   198 R1[10,17]                   1                           1 
   199 R1[10,18]                   1                           1 
   200 R1[10,19]                   0                           1 
   201 R1[10,20]                   0                           1 
   202 R1[11,1]                    0                           1 
   203 R1[11,2]                    0                           1 
   204 R1[11,3]                    1                           1 
   205 R1[11,4]                    0                           1 
   206 R1[11,5]                    0                           1 
   207 R1[11,6]                    0                           1 
   208 R1[11,7]                    1                           1 
   209 R1[11,8]                    1                           1 
   210 R1[11,9]                    0                           1 
   211 R1[11,10]                   0                           1 
   212 R1[11,11]                   0                           1 
   213 R1[11,12]                   1                           1 
   214 R1[11,13]                   0                           1 
   215 R1[11,14]                   0                           1 
   216 R1[11,15]                   1                           1 
   217 R1[11,16]                   1                           1 
   218 R1[11,17]                   0                           1 
   219 R1[11,18]                   0                           1 
   220 R1[11,19]                   1                           1 
   221 R1[11,20]                   1                           1 
   222 R1[12,1]                    1                           1 
   223 R1[12,2]                    1                           1 
   224 R1[12,3]                    0                           1 
   225 R1[12,4]                    0                           1 
   226 R1[12,5]                    1                           1 
   227 R1[12,6]                    1                           1 
   228 R1[12,7]                    0                           1 
   229 R1[12,8]                    0                           1 
   230 R1[12,9]                    1                           1 
   231 R1[12,10]                   1                           1 
   232 R1[12,11]                   0                           1 
   233 R1[12,12]                   0                           1 
   234 R1[12,13]                   1                           1 
   235 R1[12,14]                   1                           1 
   236 R1[12,15]                   0                           1 
   237 R1[12,16]                   0                           1 
   238 R1[12,17]                   1                           1 
   239 R1[12,18]                   1                           1 
   240 R1[12,19]                   0                           1 
   241 R1[12,20]                   0                           1 
   242 R1[13,1]                    0                           1 
   243 R1[13,2]                    0                           1 
   244 R1[13,3]                    1                           1 
   245 R1[13,4]                    1                           1 
   246 R1[13,5]                    0                           1 
   247 R1[13,6]                    0                           1 
   248 R1[13,7]                    1                           1 
   249 R1[13,8]                    1                           1 
   250 R1[13,9]                    0                           1 
   251 R1[13,10]                   0                           1 
   252 R1[13,11]                   1                           1 
   253 R1[13,12]                   1                           1 
   254 R1[13,13]                   0                           1 
   255 R1[13,14]                   0                           1 
   256 R1[13,15]                   1                           1 
   257 R1[13,16]                   1                           1 
   258 R1[13,17]                   0                           1 
   259 R1[13,18]                   0                           1 
   260 R1[13,19]                   1                           1 
   261 R1[13,20]                   1                           1 
   262 R1[14,1]                    1                           1 
   263 R1[14,2]                    1                           1 
   264 R1[14,3]                    0                           1 
   265 R1[14,4]                    0                           1 
   266 R1[14,5]                    1                           1 
   267 R1[14,6]                    1                           1 
   268 R1[14,7]                    0                           1 
   269 R1[14,8]                    0                           1 
   270 R1[14,9]                    1                           1 
   271 R1[14,10]                   1                           1 
   272 R1[14,11]                   0                           1 
   273 R1[14,12]                   0                           1 
   274 R1[14,13]                   1                           1 
   275 R1[14,14]                   1                           1 
   276 R1[14,15]                   0                           1 
   277 R1[14,16]                   0                           1 
   278 R1[14,17]                   1                           1 
   279 R1[14,18]                   1                           1 
   280 R1[14,19]                   0                           1 
   281 R1[14,20]                   0                           1 
   282 R2[1,1]                     0                           1 
   283 R2[1,2]                     0                           1 
   284 R2[1,3]                     1                           1 
   285 R2[1,4]                     1                           1 
   286 R2[1,5]                     0                           1 
   287 R2[1,6]                     0                           1 
   288 R2[1,7]                     0                           1 
   289 R2[1,8]                     0                           1 
   290 R2[1,9]                     0                           1 
   291 R2[1,10]                    0                           1 
   292 R2[1,11]                    1                           1 
   293 R2[1,12]                    1                           1 
   294 R2[1,13]                    0                           1 
   295 R2[1,14]                    0                           1 
   296 R2[1,15]                    0                           1 
   297 R2[1,16]                    0                           1 
   298 R2[1,17]                    0                           1 
   299 R2[1,18]                    0                           1 
   300 R2[1,19]                    0                           1 
   301 R2[1,20]                    0                           1 
   302 R2[2,1]                     0                           1 
   303 R2[2,2]                     0                           1 
   304 R2[2,3]                     0                           1 
   305 R2[2,4]                     0                           1 
   306 R2[2,5]                     0                           1 
   307 R2[2,6]                     0                           1 
   308 R2[2,7]                     0                           1 
   309 R2[2,8]                     0                           1 
   310 R2[2,9]                     1                           1 
   311 R2[2,10]                    1                           1 
   312 R2[2,11]                    0                           1 
   313 R2[2,12]                    1                           1 
   314 R2[2,13]                    0                           1 
   315 R2[2,14]                    0                           1 
   316 R2[2,15]                    0                           1 
   317 R2[2,16]                    0                           1 
   318 R2[2,17]                    1                           1 
   319 R2[2,18]                    1                           1 
   320 R2[2,19]                    0                           1 
   321 R2[2,20]                    1                           1 
   322 R2[3,1]                     1                           1 
   323 R2[3,2]                     1                           1 
   324 R2[3,3]                     0                           1 
   325 R2[3,4]                     0                           1 
   326 R2[3,5]                     0                           1 
   327 R2[3,6]                     1                           1 
   328 R2[3,7]                     0                           1 
   329 R2[3,8]                     0                           1 
   330 R2[3,9]                     1                           1 
   331 R2[3,10]                    1                           1 
   332 R2[3,11]                    0                           1 
   333 R2[3,12]                    0                           1 
   334 R2[3,13]                    1                           1 
   335 R2[3,14]                    0                           1 
   336 R2[3,15]                    0                           1 
   337 R2[3,16]                    0                           1 
   338 R2[3,17]                    0                           1 
   339 R2[3,18]                    0                           1 
   340 R2[3,19]                    0                           1 
   341 R2[3,20]                    0                           1 
   342 R2[4,1]                     0                           1 
   343 R2[4,2]                     0                           1 
   344 R2[4,3]                     0                           1 
   345 R2[4,4]                     0                           1 
   346 R2[4,5]                     1                           1 
   347 R2[4,6]                     0                           1 
   348 R2[4,7]                     1                           1 
   349 R2[4,8]                     1                           1 
   350 R2[4,9]                     0                           1 
   351 R2[4,10]                    0                           1 
   352 R2[4,11]                    0                           1 
   353 R2[4,12]                    0                           1 
   354 R2[4,13]                    0                           1 
   355 R2[4,14]                    0                           1 
   356 R2[4,15]                    0                           1 
   357 R2[4,16]                    0                           1 
   358 R2[4,17]                    1                           1 
   359 R2[4,18]                    0                           1 
   360 R2[4,19]                    1                           1 
   361 R2[4,20]                    1                           1 
   362 R2[5,1]                     0                           1 
   363 R2[5,2]                     0                           1 
   364 R2[5,3]                     0                           1 
   365 R2[5,4]                     0                           1 
   366 R2[5,5]                     1                           1 
   367 R2[5,6]                     0                           1 
   368 R2[5,7]                     0                           1 
   369 R2[5,8]                     0                           1 
   370 R2[5,9]                     0                           1 
   371 R2[5,10]                    1                           1 
   372 R2[5,11]                    0                           1 
   373 R2[5,12]                    1                           1 
   374 R2[5,13]                    1                           1 
   375 R2[5,14]                    0                           1 
   376 R2[5,15]                    0                           1 
   377 R2[5,16]                    0                           1 
   378 R2[5,17]                    1                           1 
   379 R2[5,18]                    0                           1 
   380 R2[5,19]                    0                           1 
   381 R2[5,20]                    1                           1 
   382 R2[6,1]                     0                           1 
   383 R2[6,2]                     0                           1 
   384 R2[6,3]                     0                           1 
   385 R2[6,4]                     1                           1 
   386 R2[6,5]                     1                           1 
   387 R2[6,6]                     1                           1 
   388 R2[6,7]                     0                           1 
   389 R2[6,8]                     0                           1 
   390 R2[6,9]                     0                           1 
   391 R2[6,10]                    0                           1 
   392 R2[6,11]                    0                           1 
   393 R2[6,12]                    0                           1 
   394 R2[6,13]                    1                           1 
   395 R2[6,14]                    1                           1 
   396 R2[6,15]                    0                           1 
   397 R2[6,16]                    1                           1 
   398 R2[6,17]                    0                           1 
   399 R2[6,18]                    0                           1 
   400 R2[6,19]                    0                           1 
   401 R2[6,20]                    0                           1 
   402 R2[7,1]                     0                           1 
   403 R2[7,2]                     0                           1 
   404 R2[7,3]                     0                           1 
   405 R2[7,4]                     0                           1 
   406 R2[7,5]                     0                           1 
   407 R2[7,6]                     1                           1 
   408 R2[7,7]                     1                           1 
   409 R2[7,8]                     1                           1 
   410 R2[7,9]                     0                           1 
   411 R2[7,10]                    0                           1 
   412 R2[7,11]                    0                           1 
   413 R2[7,12]                    0                           1 
   414 R2[7,13]                    1                           1 
   415 R2[7,14]                    0                           1 
   416 R2[7,15]                    1                           1 
   417 R2[7,16]                    1                           1 
   418 R2[7,17]                    0                           1 
   419 R2[7,18]                    0                           1 
   420 R2[7,19]                    0                           1 
   421 R2[7,20]                    0                           1 
   422 R2[8,1]                     1                           1 
   423 R2[8,2]                     1                           1 
   424 R2[8,3]                     0                           1 
   425 R2[8,4]                     1                           1 
   426 R2[8,5]                     0                           1 
   427 R2[8,6]                     0                           1 
   428 R2[8,7]                     0                           1 
   429 R2[8,8]                     0                           1 
   430 R2[8,9]                     1                           1 
   431 R2[8,10]                    1                           1 
   432 R2[8,11]                    0                           1 
   433 R2[8,12]                    1                           1 
   434 R2[8,13]                    0                           1 
   435 R2[8,14]                    0                           1 
   436 R2[8,15]                    0                           1 
   437 R2[8,16]                    0                           1 
   438 R2[8,17]                    0                           1 
   439 R2[8,18]                    0                           1 
   440 R2[8,19]                    0                           1 
   441 R2[8,20]                    0                           1 
   442 R2[9,1]                     0                           1 
   443 R2[9,2]                     0                           1 
   444 R2[9,3]                     0                           1 
   445 R2[9,4]                     0                           1 
   446 R2[9,5]                     0                           1 
   447 R2[9,6]                     0                           1 
   448 R2[9,7]                     0                           1 
   449 R2[9,8]                     0                           1 
   450 R2[9,9]                     1                           1 
   451 R2[9,10]                    1                           1 
   452 R2[9,11]                    0                           1 
   453 R2[9,12]                    1                           1 
   454 R2[9,13]                    0                           1 
   455 R2[9,14]                    0                           1 
   456 R2[9,15]                    0                           1 
   457 R2[9,16]                    0                           1 
   458 R2[9,17]                    1                           1 
   459 R2[9,18]                    1                           1 
   460 R2[9,19]                    1                           1 
   461 R2[9,20]                    0                           1 
   462 R2[10,1]                    0                           1 
   463 R2[10,2]                    0                           1 
   464 R2[10,3]                    0                           1 
   465 R2[10,4]                    0                           1 
   466 R2[10,5]                    1                           1 
   467 R2[10,6]                    0                           1 
   468 R2[10,7]                    1                           1 
   469 R2[10,8]                    1                           1 
   470 R2[10,9]                    0                           1 
   471 R2[10,10]                   0                           1 
   472 R2[10,11]                   0                           1 
   473 R2[10,12]                   0                           1 
   474 R2[10,13]                   0                           1 
   475 R2[10,14]                   1                           1 
   476 R2[10,15]                   1                           1 
   477 R2[10,16]                   1                           1 
   478 R2[10,17]                   0                           1 
   479 R2[10,18]                   0                           1 
   480 R2[10,19]                   0                           1 
   481 R2[10,20]                   0                           1 
   482 R2[11,1]                    0                           1 
   483 R2[11,2]                    1                           1 
   484 R2[11,3]                    1                           1 
   485 R2[11,4]                    1                           1 
   486 R2[11,5]                    0                           1 
   487 R2[11,6]                    0                           1 
   488 R2[11,7]                    0                           1 
   489 R2[11,8]                    0                           1 
   490 R2[11,9]                    1                           1 
   491 R2[11,10]                   0                           1 
   492 R2[11,11]                   0                           1 
   493 R2[11,12]                   1                           1 
   494 R2[11,13]                   0                           1 
   495 R2[11,14]                   0                           1 
   496 R2[11,15]                   0                           1 
   497 R2[11,16]                   0                           1 
   498 R2[11,17]                   0                           1 
   499 R2[11,18]                   0                           1 
   500 R2[11,19]                   0                           1 
   501 R2[11,20]                   0                           1 
   502 R2[12,1]                    1                           1 
   503 R2[12,2]                    1                           1 
   504 R2[12,3]                    1                           1 
   505 R2[12,4]                    0                           1 
   506 R2[12,5]                    0                           1 
   507 R2[12,6]                    0                           1 
   508 R2[12,7]                    0                           1 
   509 R2[12,8]                    0                           1 
   510 R2[12,9]                    0                           1 
   511 R2[12,10]                   0                           1 
   512 R2[12,11]                   0                           1 
   513 R2[12,12]                   0                           1 
   514 R2[12,13]                   0                           1 
   515 R2[12,14]                   0                           1 
   516 R2[12,15]                   0                           1 
   517 R2[12,16]                   0                           1 
   518 R2[12,17]                   1                           1 
   519 R2[12,18]                   1                           1 
   520 R2[12,19]                   1                           1 
   521 R2[12,20]                   0                           1 
   522 R2[13,1]                    1                           1 
   523 R2[13,2]                    0                           1 
   524 R2[13,3]                    0                           1 
   525 R2[13,4]                    0                           1 
   526 R2[13,5]                    0                           1 
   527 R2[13,6]                    0                           1 
   528 R2[13,7]                    0                           1 
   529 R2[13,8]                    0                           1 
   530 R2[13,9]                    1                           1 
   531 R2[13,10]                   0                           1 
   532 R2[13,11]                   1                           1 
   533 R2[13,12]                   0                           1 
   534 R2[13,13]                   0                           1 
   535 R2[13,14]                   0                           1 
   536 R2[13,15]                   0                           1 
   537 R2[13,16]                   0                           1 
   538 R2[13,17]                   0                           1 
   539 R2[13,18]                   0                           1 
   540 R2[13,19]                   1                           1 
   541 R2[13,20]                   1                           1 
   542 R2[14,1]                    0                           1 
   543 R2[14,2]                    0                           1 
   544 R2[14,3]                    1                           1 
   545 R2[14,4]                    0                           1 
   546 R2[14,5]                    0                           1 
   547 R2[14,6]                    1                           1 
   548 R2[14,7]                    1                           1 
   549 R2[14,8]                    0                           1 
   550 R2[14,9]                    0                           1 
   551 R2[14,10]                   0                           1 
   552 R2[14,11]                   0                           1 
   553 R2[14,12]                   0                           1 
   554 R2[14,13]                   0                           1 
   555 R2[14,14]                   1                           1 
   556 R2[14,15]                   1                           1 
   557 R2[14,16]                   1                           1 
   558 R2[14,17]                   0                           1 
   559 R2[14,18]                   0                           1 
   560 R2[14,19]                   0                           1 
   561 R2[14,20]                   0                           1 
   562 R3[1,1]                     2             2             = 
   563 R3[1,2]                     0            -0             = 
   564 R3[1,3]                     0            -0             = 
   565 R3[1,4]                     0            -0             = 
   566 R3[1,5]                     0            -0             = 
   567 R3[1,6]                     0            -0             = 
   568 R3[1,7]                     0            -0             = 
   569 R3[1,8]                     0            -0             = 
   570 R3[1,9]                     2             2             = 
   571 R3[1,10]                    0            -0             = 
   572 R3[1,11]                    0            -0             = 
   573 R3[1,12]                    0            -0             = 
   574 R3[1,13]                    0            -0             = 
   575 R3[1,14]                    0            -0             = 
   576 R3[2,1]                     0            -0             = 
   577 R3[2,2]                     0            -0             = 
   578 R3[2,3]                     2             2             = 
   579 R3[2,4]                     0            -0             = 
   580 R3[2,5]                     0            -0             = 
   581 R3[2,6]                     0            -0             = 
   582 R3[2,7]                     0            -0             = 
   583 R3[2,8]                     2             2             = 
   584 R3[2,9]                     0            -0             = 
   585 R3[2,10]                    0            -0             = 
   586 R3[2,11]                    0            -0             = 
   587 R3[2,12]                    0            -0             = 
   588 R3[2,13]                    0            -0             = 
   589 R3[2,14]                    2             2             = 
   590 R3[3,1]                     0            -0             = 
   591 R3[3,2]                     2             2             = 
   592 R3[3,3]                     0            -0             = 
   593 R3[3,4]                     0            -0             = 
   594 R3[3,5]                     0            -0             = 
   595 R3[3,6]                     0            -0             = 
   596 R3[3,7]                     0            -0             = 
   597 R3[3,8]                     2             2             = 
   598 R3[3,9]                     0            -0             = 
   599 R3[3,10]                    2             2             = 
   600 R3[3,11]                    0            -0             = 
   601 R3[3,12]                    0            -0             = 
   602 R3[3,13]                    0            -0             = 
   603 R3[3,14]                    0            -0             = 
   604 R3[4,1]                     0            -0             = 
   605 R3[4,2]                     0            -0             = 
   606 R3[4,3]                     0            -0             = 
   607 R3[4,4]                     0            -0             = 
   608 R3[4,5]                     0            -0             = 
   609 R3[4,6]                     0            -0             = 
   610 R3[4,7]                     0            -0             = 
   611 R3[4,8]                     0            -0             = 
   612 R3[4,9]                     2             2             = 
   613 R3[4,10]                    2             2             = 
   614 R3[4,11]                    2             2             = 
   615 R3[4,12]                    0            -0             = 
   616 R3[4,13]                    0            -0             = 
   617 R3[4,14]                    0            -0             = 
   618 R3[5,1]                     0            -0             = 
   619 R3[5,2]                     0            -0             = 
   620 R3[5,3]                     0            -0             = 
   621 R3[5,4]                     0            -0             = 
   622 R3[5,5]                     0            -0             = 
   623 R3[5,6]                     2             2             = 
   624 R3[5,7]                     0            -0             = 
   625 R3[5,8]                     0            -0             = 
   626 R3[5,9]                     0            -0             = 
   627 R3[5,10]                    0            -0             = 
   628 R3[5,11]                    2             2             = 
   629 R3[5,12]                    2             2             = 
   630 R3[5,13]                    0            -0             = 
   631 R3[5,14]                    0            -0             = 
   632 R3[6,1]                     0            -0             = 
   633 R3[6,2]                     0            -0             = 
   634 R3[6,3]                     0            -0             = 
   635 R3[6,4]                     0            -0             = 
   636 R3[6,5]                     0            -0             = 
   637 R3[6,6]                     2             2             = 
   638 R3[6,7]                     0            -0             = 
   639 R3[6,8]                     0            -0             = 
   640 R3[6,9]                     2             2             = 
   641 R3[6,10]                    0            -0             = 
   642 R3[6,11]                    0            -0             = 
   643 R3[6,12]                    0            -0             = 
   644 R3[6,13]                    0            -0             = 
   645 R3[6,14]                    2             2             = 
   646 R3[7,1]                     0            -0             = 
   647 R3[7,2]                     0            -0             = 
   648 R3[7,3]                     0            -0             = 
   649 R3[7,4]                     0            -0             = 
   650 R3[7,5]                     0            -0             = 
   651 R3[7,6]                     0            -0             = 
   652 R3[7,7]                     0            -0             = 
   653 R3[7,8]                     0            -0             = 
   654 R3[7,9]                     2             2             = 
   655 R3[7,10]                    0            -0             = 
   656 R3[7,11]                    0            -0             = 
   657 R3[7,12]                    2             2             = 
   658 R3[7,13]                    2             2             = 
   659 R3[7,14]                    0            -0             = 
   660 R3[8,1]                     0            -0             = 
   661 R3[8,2]                     0            -0             = 
   662 R3[8,3]                     0            -0             = 
   663 R3[8,4]                     2             2             = 
   664 R3[8,5]                     0            -0             = 
   665 R3[8,6]                     0            -0             = 
   666 R3[8,7]                     0            -0             = 
   667 R3[8,8]                     0            -0             = 
   668 R3[8,9]                     0            -0             = 
   669 R3[8,10]                    2             2             = 
   670 R3[8,11]                    0            -0             = 
   671 R3[8,12]                    0            -0             = 
   672 R3[8,13]                    2             2             = 
   673 R3[8,14]                    0            -0             = 
   674 R3[9,1]                     0            -0             = 
   675 R3[9,2]                     0            -0             = 
   676 R3[9,3]                     0            -0             = 
   677 R3[9,4]                     2             2             = 
   678 R3[9,5]                     0            -0             = 
   679 R3[9,6]                     0            -0             = 
